Steppingstone sampler:
        No Stones:                  100
        Start It:                   30300001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-30.605908	-30.605908
1	0.950747	7500	-30.147361	-60.753269
2	0.926679	7500	-29.690793	-90.444062
3	0.902980	7500	-29.236960	-119.681022
4	0.879648	7500	-28.784604	-148.465626
5	0.856682	7500	-28.331665	-176.797291
6	0.834079	7500	-27.889226	-204.686518
7	0.811838	7500	-27.445552	-232.132070
8	0.789957	7500	-27.002511	-259.134581
9	0.768433	7500	-26.560254	-285.694835
10	0.747266	7500	-26.124198	-311.819033
11	0.726452	7500	-25.684982	-337.504014
12	0.705989	7500	-25.253312	-362.757327
13	0.685877	7500	-24.824555	-387.581882
14	0.666112	7500	-24.396206	-411.978088
15	0.646693	7500	-23.970360	-435.948447
16	0.627618	7500	-23.550072	-459.498519
17	0.608884	7500	-23.130259	-482.628778
18	0.590490	7500	-22.715391	-505.344169
19	0.572433	7500	-22.296620	-527.640789
20	0.554712	7500	-21.888604	-549.529393
21	0.537324	7500	-21.477659	-571.007052
22	0.520268	7500	-21.067192	-592.074244
23	0.503540	7500	-20.669783	-612.744027
24	0.487139	7500	-20.264385	-633.008412
25	0.471063	7500	-19.865988	-652.874400
26	0.455310	7500	-19.460665	-672.335066
27	0.439877	7500	-19.074492	-691.409558
28	0.424762	7500	-18.681176	-710.090734
29	0.409963	7500	-18.294742	-728.385476
30	0.395478	7500	-17.907368	-746.292844
31	0.381305	7500	-17.529202	-763.822046
32	0.367440	7500	-17.146700	-780.968746
33	0.353883	7500	-16.770190	-797.738937
34	0.340630	7500	-16.400353	-814.139289
35	0.327680	7500	-16.026577	-830.165866
36	0.315030	7500	-15.656578	-845.822445
37	0.302677	7500	-15.292263	-861.114708
38	0.290619	7500	-14.930066	-876.044774
39	0.278855	7500	-14.572117	-890.616891
40	0.267381	7500	-14.215702	-904.832593
41	0.256195	7500	-13.859111	-918.691704
42	0.245294	7500	-13.505213	-932.196918
43	0.234677	7500	-13.168098	-945.365016
44	0.224340	7500	-12.819112	-958.184128
45	0.214281	7500	-12.479567	-970.663695
46	0.204498	7500	-12.140350	-982.804045
47	0.194988	7500	-11.804137	-994.608182
48	0.185749	7500	-11.477547	-1006.085728
49	0.176777	7500	-11.143423	-1017.229152
50	0.168070	7500	-10.828936	-1028.058088
51	0.159626	7500	-10.529911	-1038.587999
52	0.151441	7500	-10.186627	-1048.774625
53	0.143514	7500	-9.884877	-1058.659502
54	0.135841	7500	-9.557495	-1068.216997
55	0.128420	7500	-9.257648	-1077.474645
56	0.121247	7500	-8.948113	-1086.422758
57	0.114320	7500	-8.648409	-1095.071167
58	0.107637	7500	-8.361037	-1103.432204
59	0.101193	7500	-8.067469	-1111.499672
60	0.094986	7500	-7.772967	-1119.272639
61	0.089014	7500	-7.486515	-1126.759154
62	0.083273	7500	-7.214694	-1133.973849
63	0.077760	7500	-6.923512	-1140.897361
64	0.072472	7500	-6.668038	-1147.565399
65	0.067406	7500	-6.400320	-1153.965719
66	0.062558	7500	-6.140287	-1160.106007
67	0.057926	7500	-5.882748	-1165.988755
68	0.053506	7500	-5.608286	-1171.597041
69	0.049295	7500	-5.363434	-1176.960475
70	0.045289	7500	-5.121185	-1182.081660
71	0.041485	7500	-4.895369	-1186.977029
72	0.037880	7500	-4.646516	-1191.623545
73	0.034469	7500	-4.403474	-1196.027019
74	0.031250	7500	-4.193924	-1200.220942
75	0.028218	7500	-3.956536	-1204.177478
76	0.025370	7500	-3.777236	-1207.954714
77	0.022702	7500	-3.591735	-1211.546449
78	0.020209	7500	-4.002588	-1215.549037
79	0.017889	7500	-3.606245	-1219.155282
80	0.015736	7500	-3.356549	-1222.511832
81	0.013746	7500	-3.655608	-1226.167440
82	0.011916	7500	-3.609308	-1229.776748
83	0.010240	7500	-3.298228	-1233.074976
84	0.008714	7500	-3.012571	-1236.087547
85	0.007334	7500	-2.766915	-1238.854462
86	0.006093	7500	-2.549844	-1241.404306
87	0.004988	7500	-2.271557	-1243.675863
88	0.004013	7500	-2.059127	-1245.734990
89	0.003162	7500	-1.823254	-1247.558244
90	0.002430	7500	-1.641280	-1249.199523
91	0.001810	7500	-1.442202	-1250.641726
92	0.001296	7500	-1.216064	-1251.857789
93	0.000882	7500	-1.034866	-1252.892656
94	0.000559	7500	-0.815085	-1253.707741
95	0.000320	7500	-0.746310	-1254.454051
96	0.000156	7500	-0.655239	-1255.109290
97	0.000057	7500	-0.272972	-1255.382262
98	0.000010	7500	-0.227563	-1255.609825
99	0.000000	7500	-0.034770	-1255.644595
Log marginal likelihood:	-1255.644595
0	0.975187	7500	-30.385722	-30.385722
1	0.950747	7500	-29.933411	-60.319133
2	0.926679	7500	-29.476351	-89.795484
3	0.902980	7500	-29.024949	-118.820433
4	0.879648	7500	-28.578659	-147.399092
5	0.856682	7500	-28.132874	-175.531966
6	0.834079	7500	-27.688231	-203.220197
7	0.811838	7500	-27.245088	-230.465285
8	0.789957	7500	-26.807313	-257.272599
9	0.768433	7500	-26.370978	-283.643576
10	0.747266	7500	-25.935952	-309.579528
11	0.726452	7500	-25.503829	-335.083357
12	0.705989	7500	-25.071773	-360.155131
13	0.685877	7500	-24.645895	-384.801025
14	0.666112	7500	-24.223909	-409.024934
15	0.646693	7500	-23.804890	-432.829824
16	0.627618	7500	-23.383490	-456.213314
17	0.608884	7500	-22.961506	-479.174820
18	0.590490	7500	-22.549639	-501.724458
19	0.572433	7500	-22.139383	-523.863842
20	0.554712	7500	-21.725325	-545.589167
21	0.537324	7500	-21.323546	-566.912713
22	0.520268	7500	-20.918780	-587.831493
23	0.503540	7500	-20.522076	-608.353569
24	0.487139	7500	-20.117248	-628.470818
25	0.471063	7500	-19.722119	-648.192937
26	0.455310	7500	-19.324040	-667.516977
27	0.439877	7500	-18.936883	-686.453860
28	0.424762	7500	-18.551305	-705.005164
29	0.409963	7500	-18.162670	-723.167834
30	0.395478	7500	-17.783985	-740.951819
31	0.381305	7500	-17.399478	-758.351296
32	0.367440	7500	-17.027853	-775.379150
33	0.353883	7500	-16.650792	-792.029942
34	0.340630	7500	-16.281204	-808.311146
35	0.327680	7500	-15.907918	-824.219064
36	0.315030	7500	-15.551117	-839.770181
37	0.302677	7500	-15.196160	-854.966341
38	0.290619	7500	-14.828079	-869.794420
39	0.278855	7500	-14.467627	-884.262046
40	0.267381	7500	-14.115327	-898.377373
41	0.256195	7500	-13.764622	-912.141996
42	0.245294	7500	-13.411707	-925.553703
43	0.234677	7500	-13.068136	-938.621839
44	0.224340	7500	-12.729814	-951.351653
45	0.214281	7500	-12.386173	-963.737826
46	0.204498	7500	-12.051514	-975.789340
47	0.194988	7500	-11.727668	-987.517008
48	0.185749	7500	-11.398072	-998.915080
49	0.176777	7500	-11.064231	-1009.979312
50	0.168070	7500	-10.757536	-1020.736848
51	0.159626	7500	-10.435483	-1031.172330
