Steppingstone sampler:
        No Stones:                  100
        Start It:                   30300001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-41.130965	-41.130965
1	0.950747	7500	-40.508562	-81.639527
2	0.926679	7500	-39.896756	-121.536283
3	0.902980	7500	-39.283181	-160.819463
4	0.879648	7500	-38.681084	-199.500548
5	0.856682	7500	-38.074880	-237.575427
6	0.834079	7500	-37.471718	-275.047145
7	0.811838	7500	-36.875746	-311.922891
8	0.789957	7500	-36.279909	-348.202800
9	0.768433	7500	-35.686997	-383.889798
10	0.747266	7500	-35.096928	-418.986726
11	0.726452	7500	-34.514581	-453.501307
12	0.705989	7500	-33.930786	-487.432093
13	0.685877	7500	-33.353405	-520.785498
14	0.666112	7500	-32.779483	-553.564981
15	0.646693	7500	-32.208640	-585.773621
16	0.627618	7500	-31.640707	-617.414329
17	0.608884	7500	-31.076322	-648.490651
18	0.590490	7500	-30.509073	-678.999724
19	0.572433	7500	-29.954374	-708.954098
20	0.554712	7500	-29.398521	-738.352619
21	0.537324	7500	-28.854134	-767.206753
22	0.520268	7500	-28.303588	-795.510341
23	0.503540	7500	-27.758574	-823.268915
24	0.487139	7500	-27.221072	-850.489987
25	0.471063	7500	-26.681189	-877.171176
26	0.455310	7500	-26.142394	-903.313570
27	0.439877	7500	-25.621300	-928.934870
28	0.424762	7500	-25.099122	-954.033993
29	0.409963	7500	-24.569974	-978.603966
30	0.395478	7500	-24.053849	-1002.657815
31	0.381305	7500	-23.536802	-1026.194618
32	0.367440	7500	-23.027664	-1049.222281
33	0.353883	7500	-22.518202	-1071.740483
34	0.340630	7500	-22.018358	-1093.758841
35	0.327680	7500	-21.518564	-1115.277406
36	0.315030	7500	-21.025696	-1136.303101
37	0.302677	7500	-20.529977	-1156.833078
38	0.290619	7500	-20.046848	-1176.879926
39	0.278855	7500	-19.558436	-1196.438362
40	0.267381	7500	-19.081414	-1215.519776
41	0.256195	7500	-18.604563	-1234.124340
42	0.245294	7500	-18.136261	-1252.260601
43	0.234677	7500	-17.669658	-1269.930259
44	0.224340	7500	-17.205131	-1287.135390
45	0.214281	7500	-16.747994	-1303.883384
46	0.204498	7500	-16.289902	-1320.173286
47	0.194988	7500	-15.842057	-1336.015343
48	0.185749	7500	-15.394852	-1351.410194
49	0.176777	7500	-14.953387	-1366.363582
50	0.168070	7500	-14.517966	-1380.881548
51	0.159626	7500	-14.088929	-1394.970477
52	0.151441	7500	-13.657322	-1408.627799
53	0.143514	7500	-13.228262	-1421.856061
54	0.135841	7500	-12.814127	-1434.670188
55	0.128420	7500	-12.395333	-1447.065521
56	0.121247	7500	-11.991651	-1459.057172
57	0.114320	7500	-11.587627	-1470.644798
58	0.107637	7500	-11.178305	-1481.823104
59	0.101193	7500	-10.799110	-1492.622213
