Steppingstone sampler:
        No Stones:                  100
        Start It:                   30300001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-36.542727	-36.542727
1	0.950747	7500	-36.000987	-72.543714
2	0.926679	7500	-35.456087	-107.999801
3	0.902980	7500	-34.911630	-142.911430
4	0.879648	7500	-34.371969	-177.283399
5	0.856682	7500	-33.836321	-211.119721
6	0.834079	7500	-33.312956	-244.432676
7	0.811838	7500	-32.779274	-277.211950
8	0.789957	7500	-32.258860	-309.470810
9	0.768433	7500	-31.718148	-341.188958
10	0.747266	7500	-31.189306	-372.378264
11	0.726452	7500	-30.687837	-403.066101
12	0.705989	7500	-30.166200	-433.232302
13	0.685877	7500	-29.655418	-462.887720
14	0.666112	7500	-29.144033	-492.031753
15	0.646693	7500	-28.631887	-520.663640
16	0.627618	7500	-28.131531	-548.795171
17	0.608884	7500	-27.633014	-576.428185
18	0.590490	7500	-27.140689	-603.568875
19	0.572433	7500	-26.640114	-630.208989
20	0.554712	7500	-26.148387	-656.357375
21	0.537324	7500	-25.671123	-682.028498
22	0.520268	7500	-25.168353	-707.196851
23	0.503540	7500	-24.675559	-731.872410
24	0.487139	7500	-24.216203	-756.088613
25	0.471063	7500	-23.735997	-779.824610
26	0.455310	7500	-23.262512	-803.087122
27	0.439877	7500	-22.814822	-825.901944
28	0.424762	7500	-22.341887	-848.243830
29	0.409963	7500	-21.873861	-870.117692
30	0.395478	7500	-21.423640	-891.541332
31	0.381305	7500	-20.987151	-912.528483
32	0.367440	7500	-20.518100	-933.046582
33	0.353883	7500	-20.062543	-953.109126
34	0.340630	7500	-19.617951	-972.727077
35	0.327680	7500	-19.198811	-991.925888
36	0.315030	7500	-18.749147	-1010.675035
37	0.302677	7500	-18.319560	-1028.994595
38	0.290619	7500	-17.871912	-1046.866507
39	0.278855	7500	-17.427165	-1064.293672
40	0.267381	7500	-17.028640	-1081.322311
