Steppingstone sampler:
        No Stones:                  100
        Start It:                   30300001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-41.074746	-41.074746
1	0.950747	7500	-40.482471	-81.557218
2	0.926679	7500	-39.865312	-121.422529
3	0.902980	7500	-39.252894	-160.675424
4	0.879648	7500	-38.636031	-199.311455
5	0.856682	7500	-38.040050	-237.351504
6	0.834079	7500	-37.469139	-274.820644
7	0.811838	7500	-36.843178	-311.663822
8	0.789957	7500	-36.257985	-347.921807
9	0.768433	7500	-35.692261	-383.614068
10	0.747266	7500	-35.077881	-418.691949
11	0.726452	7500	-34.497341	-453.189290
12	0.705989	7500	-33.926859	-487.116149
13	0.685877	7500	-33.345322	-520.461471
14	0.666112	7500	-32.778390	-553.239860
15	0.646693	7500	-32.244281	-585.484142
16	0.627618	7500	-31.649501	-617.133643
17	0.608884	7500	-31.060937	-648.194580
18	0.590490	7500	-30.509384	-678.703964
19	0.572433	7500	-29.961345	-708.665309
20	0.554712	7500	-29.484680	-738.149990
21	0.537324	7500	-28.861078	-767.011068
22	0.520268	7500	-28.300702	-795.311770
23	0.503540	7500	-27.822080	-823.133849
24	0.487139	7500	-27.446492	-850.580341
25	0.471063	7500	-26.888394	-877.468735
26	0.455310	7500	-26.368074	-903.836809
27	0.439877	7500	-25.775072	-929.611880
28	0.424762	7500	-25.288281	-954.900161
29	0.409963	7500	-24.754829	-979.654990
30	0.395478	7500	-24.267596	-1003.922586
31	0.381305	7500	-23.742692	-1027.665278
32	0.367440	7500	-23.239334	-1050.904612
33	0.353883	7500	-22.715037	-1073.619650
34	0.340630	7500	-22.117815	-1095.737465
35	0.327680	7500	-21.545957	-1117.283421
36	0.315030	7500	-21.049175	-1138.332596
37	0.302677	7500	-20.551926	-1158.884522
38	0.290619	7500	-20.063501	-1178.948023
39	0.278855	7500	-19.607536	-1198.555559
40	0.267381	7500	-19.159247	-1217.714806
41	0.256195	7500	-18.720921	-1236.435727
42	0.245294	7500	-18.292793	-1254.728520
43	0.234677	7500	-17.863730	-1272.592250
44	0.224340	7500	-17.400955	-1289.993204
45	0.214281	7500	-16.951502	-1306.944706
46	0.204498	7500	-16.479420	-1323.424127
47	0.194988	7500	-16.326645	-1339.750771
48	0.185749	7500	-15.621047	-1355.371818
49	0.176777	7500	-15.062819	-1370.434637
50	0.168070	7500	-14.694175	-1385.128812
51	0.159626	7500	-14.246707	-1399.375519
52	0.151441	7500	-13.770383	-1413.145901
53	0.143514	7500	-13.391219	-1426.537121
54	0.135841	7500	-12.978118	-1439.515239
55	0.128420	7500	-12.671961	-1452.187200
56	0.121247	7500	-12.360529	-1464.547728
57	0.114320	7500	-11.962406	-1476.510134
58	0.107637	7500	-11.433773	-1487.943907
59	0.101193	7500	-11.114979	-1499.058886
60	0.094986	7500	-10.728544	-1509.787430
61	0.089014	7500	-10.347219	-1520.134649
62	0.083273	7500	-9.977680	-1530.112329
63	0.077760	7500	-9.573649	-1539.685977
64	0.072472	7500	-9.190360	-1548.876338
65	0.067406	7500	-8.850106	-1557.726444
66	0.062558	7500	-8.417961	-1566.144405
67	0.057926	7500	-8.095246	-1574.239651
68	0.053506	7500	-7.797791	-1582.037441
69	0.049295	7500	-7.366755	-1589.404197
70	0.045289	7500	-7.028911	-1596.433108
71	0.041485	7500	-6.725840	-1603.158948
