Steppingstone sampler:
        No Stones:                  100
        Start It:                   30300001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-37.422329	-37.422329
1	0.950747	7500	-36.864700	-74.287029
2	0.926679	7500	-36.300473	-110.587502
3	0.902980	7500	-35.746523	-146.334026
4	0.879648	7500	-35.197330	-181.531355
5	0.856682	7500	-34.644367	-216.175723
6	0.834079	7500	-34.100167	-250.275889
7	0.811838	7500	-33.553222	-283.829112
8	0.789957	7500	-33.016195	-316.845307
9	0.768433	7500	-32.474657	-349.319964
10	0.747266	7500	-31.934461	-381.254425
11	0.726452	7500	-31.407183	-412.661609
12	0.705989	7500	-30.878888	-443.540496
13	0.685877	7500	-30.348203	-473.888699
14	0.666112	7500	-29.824338	-503.713038
15	0.646693	7500	-29.308413	-533.021451
16	0.627618	7500	-28.791595	-561.813046
17	0.608884	7500	-28.279482	-590.092528
18	0.590490	7500	-27.764783	-617.857311
19	0.572433	7500	-27.256252	-645.113563
20	0.554712	7500	-26.755475	-671.869038
21	0.537324	7500	-26.252679	-698.121717
22	0.520268	7500	-25.756651	-723.878368
23	0.503540	7500	-25.260609	-749.138977
24	0.487139	7500	-24.768334	-773.907311
25	0.471063	7500	-24.277719	-798.185030
26	0.455310	7500	-23.800632	-821.985662
27	0.439877	7500	-23.318715	-845.304376
28	0.424762	7500	-22.841743	-868.146119
29	0.409963	7500	-22.360243	-890.506362
30	0.395478	7500	-21.888611	-912.394973
31	0.381305	7500	-21.420507	-933.815480
32	0.367440	7500	-20.957505	-954.772985
33	0.353883	7500	-20.494652	-975.267637
34	0.340630	7500	-20.031948	-995.299585
35	0.327680	7500	-19.581172	-1014.880757
36	0.315030	7500	-19.131385	-1034.012141
37	0.302677	7500	-18.686774	-1052.698915
38	0.290619	7500	-18.243234	-1070.942149
39	0.278855	7500	-17.808404	-1088.750553
40	0.267381	7500	-17.367332	-1106.117885
41	0.256195	7500	-16.940242	-1123.058127
42	0.245294	7500	-16.510857	-1139.568984
43	0.234677	7500	-16.084939	-1155.653923
44	0.224340	7500	-15.661391	-1171.315314
45	0.214281	7500	-15.250880	-1186.566194
46	0.204498	7500	-14.831585	-1201.397779
47	0.194988	7500	-14.419337	-1215.817116
48	0.185749	7500	-14.018817	-1229.835933
49	0.176777	7500	-13.620533	-1243.456466
50	0.168070	7500	-13.221402	-1256.677868
51	0.159626	7500	-12.826067	-1269.503935
52	0.151441	7500	-12.433813	-1281.937749
53	0.143514	7500	-12.050068	-1293.987817
54	0.135841	7500	-11.665419	-1305.653236
55	0.128420	7500	-11.291761	-1316.944997
56	0.121247	7500	-10.923779	-1327.868775
57	0.114320	7500	-10.563269	-1338.432044
58	0.107637	7500	-10.191875	-1348.623919
59	0.101193	7500	-9.829952	-1358.453870
60	0.094986	7500	-9.471173	-1367.925043
61	0.089014	7500	-9.160020	-1377.085064
62	0.083273	7500	-8.815730	-1385.900793
63	0.077760	7500	-8.450331	-1394.351124
64	0.072472	7500	-8.111377	-1402.462501
65	0.067406	7500	-7.799177	-1410.261678
66	0.062558	7500	-7.455426	-1417.717104
67	0.057926	7500	-7.177525	-1424.894628
68	0.053506	7500	-6.837990	-1431.732619
69	0.049295	7500	-6.581855	-1438.314474
70	0.045289	7500	-6.256235	-1444.570708
71	0.041485	7500	-5.960982	-1450.531690
72	0.037880	7500	-6.011429	-1456.543119
73	0.034469	7500	-6.031444	-1462.574563
74	0.031250	7500	-5.690553	-1468.265117
75	0.028218	7500	-5.082072	-1473.347188
76	0.025370	7500	-4.703394	-1478.050582
77	0.022702	7500	-4.451262	-1482.501844
78	0.020209	7500	-4.481900	-1486.983744
79	0.017889	7500	-4.544131	-1491.527875
80	0.015736	7500	-4.245354	-1495.773229
81	0.013746	7500	-3.973813	-1499.747042
82	0.011916	7500	-3.690386	-1503.437428
83	0.010240	7500	-3.392147	-1506.829576
84	0.008714	7500	-3.015426	-1509.845002
85	0.007334	7500	-2.824864	-1512.669866
86	0.006093	7500	-2.563966	-1515.233832
87	0.004988	7500	-2.296502	-1517.530334
88	0.004013	7500	-2.069620	-1519.599954
89	0.003162	7500	-1.833638	-1521.433592
90	0.002430	7500	-1.611412	-1523.045004
91	0.001810	7500	-1.424091	-1524.469094
92	0.001296	7500	-1.148153	-1525.617247
93	0.000882	7500	-1.003726	-1526.620974
94	0.000559	7500	-0.841812	-1527.462785
95	0.000320	7500	-0.676717	-1528.139502
96	0.000156	7500	-0.433748	-1528.573250
97	0.000057	7500	-0.261637	-1528.834887
98	0.000010	7500	-0.132875	-1528.967763
99	0.000000	7500	-0.029478	-1528.997240
Log marginal likelihood:	-1528.997240
0	0.975187	7500	-37.499128	-37.499128
1	0.950747	7500	-36.935563	-74.434691
2	0.926679	7500	-36.372390	-110.807081
3	0.902980	7500	-35.817543	-146.624624
4	0.879648	7500	-35.262484	-181.887108
5	0.856682	7500	-34.714893	-216.602001
6	0.834079	7500	-34.167273	-250.769274
7	0.811838	7500	-33.619186	-284.388459
8	0.789957	7500	-33.076113	-317.464572
9	0.768433	7500	-32.535980	-350.000552
10	0.747266	7500	-32.000830	-382.001382
11	0.726452	7500	-31.469491	-413.470873
12	0.705989	7500	-30.938315	-444.409188
13	0.685877	7500	-30.412215	-474.821403
14	0.666112	7500	-29.889079	-504.710483
15	0.646693	7500	-29.367185	-534.077667
16	0.627618	7500	-28.847724	-562.925391
17	0.608884	7500	-28.333941	-591.259332
18	0.590490	7500	-27.823434	-619.082766
19	0.572433	7500	-27.314158	-646.396924
20	0.554712	7500	-26.811996	-673.208920
21	0.537324	7500	-26.302114	-699.511035
22	0.520268	7500	-25.806396	-725.317430
23	0.503540	7500	-25.312282	-750.629713
24	0.487139	7500	-24.822220	-775.451932
25	0.471063	7500	-24.333506	-799.785438
26	0.455310	7500	-23.840275	-823.625713
27	0.439877	7500	-23.358398	-846.984110
